	estimate	upper	lower	
esite0	-.01125813	 .01353275	-.03604901	
esite1	-.03945176	-.00014796	-.07875556	
esite2	-.06555693	-.00171267	-.12940119	
esite3	-.08645818	-.00567798	-.16723837	
esite4	-.11186032	 -.0103566	-.21336403	
esite5	-.11568692	-.00439095	-.22698289	
esite6	-.12349137	 .00159609	-.24857882	
esite7	-.12549673	 .03255436	-.28354782	
esite8	 -.1059992	 .05837768	-.27037608	
esite9	-.09036962	 .07708028	-.25781951	
esite10	 -.0766468	 .09542536	-.24871897	
esite11	-.05875044	  .1135618	-.23106267	
esite12	-.03832953	 .13718802	-.21384707	
esite13	-.01798067	 .16242701	-.19838836	
esite14	 .00307493	 .18979185	  -.183642	
esite15	 .03131736	 .22791799	-.16528327	
esite16	  .0619443	 .27134354	-.14745494	
ebelligerent0	-.01078298	 .00058382	-.02214977	
ebelligerent1	-.03785423	 -.0133018	-.06240666	
ebelligerent2	-.07840899	-.04570022	-.11111777	
ebelligerent3	-.07152888	-.03137985	-.11167791	
ebelligerent4	 -.1026916	 -.0373732	   -.16801	
ebelligerent5	-.12892064	-.02063053	-.23721074	
ebelligerent6	-.13654135	-.00865724	-.26442546	
ebelligerent7	-.11679468	 .01405124	 -.2476406	
ebelligerent8	-.11080299	 .03236033	-.25396631	
ebelligerent9	-.04463148	 .15596764	 -.2452306	
ebelligerent10	-.01570991	 .20965635	-.24107618	
ebelligerent11	 .04637607	 .33050324	 -.2377511	
ebelligerent12	 .09155333	 .41865956	-.23555291	
ebelligerent13	 .13751132	 .51201697	-.23699433	
ebelligerent14	 .17375077	 .58834904	-.24084751	
ebelligerent15	 .20574651	 .65902012	-.24752711	
ebelligerent16	 .25404275	   .752779	 -.2446935	
ethird0	 .00122529	 .01911391	-.01666333	
ethird1	-.02572782	 .01215664	-.06361228	
ethird2	 -.0489205	 .01927551	 -.1171165	
ethird3	-.05466571	 .01796114	-.12729255	
ethird4	 -.0709093	 .02408643	-.16590502	
ethird5	 -.0522823	 .06458603	-.16915063	
ethird6	-.02780766	 .11351076	-.16912609	
ethird7	-.06031014	 .13626161	-.25688188	
ethird8	-.03834891	 .18067705	-.25737487	
ethird9	-.00580677	 .23468231	-.24629584	
ethird10	 .03236665	 .30699586	-.24226256	
ethird11	 .06940658	 .37026033	-.23144717	
ethird12	   .109639	 .43665532	-.21737733	
ethird13	 .15488294	 .51275183	-.20298594	
ethird14	 .19444613	 .57820459	-.18931234	
ethird15	 .23292806	 .64332044	-.17746431	
ethird16	 .27270057	  .7141453	-.16874416	
